epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,41727.9,1.13311,1.18707,1.37246,0.71769,0.66724,0.70405,0.47465,1.28941,1.22391,1.45205,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
31,43093.9,1.15322,1.09504,1.40107,0.71949,0.6682,0.70637,0.4761,1.28598,1.21804,1.44917,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
32,44466.7,1.12777,1.05656,1.38599,0.72113,0.66725,0.70763,0.47847,1.28246,1.21243,1.44646,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
33,45839.4,1.11096,1.03098,1.37382,0.72962,0.66608,0.70992,0.48149,1.27895,1.20675,1.44375,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
34,47216.8,1.09594,1.00947,1.36067,0.73938,0.66328,0.71236,0.48296,1.27626,1.20197,1.44137,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431
35,48597.5,1.08028,0.98917,1.34959,0.73928,0.66242,0.71364,0.48418,1.2734,1.1972,1.43901,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
36,49978.6,1.07051,0.97389,1.33976,0.73525,0.6657,0.71548,0.48562,1.27034,1.1926,1.43635,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796
37,51362.6,1.06432,0.9644,1.3334,0.73226,0.66946,0.71666,0.48712,1.26786,1.18834,1.43427,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
38,52926,1.05287,0.95175,1.32708,0.74062,0.66417,0.71787,0.48847,1.2658,1.18454,1.43262,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769
39,54306.7,1.04852,0.94876,1.32366,0.74296,0.66627,0.72007,0.48973,1.2639,1.18093,1.43105,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
40,55690.2,1.04575,0.93979,1.31869,0.75203,0.65981,0.72088,0.4914,1.26194,1.17763,1.42955,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259
